Name;Episode;Step;RecircArea;Drag;Lift;Jet0;Jet1
Simu_maxF1_NbAct400_drag;1;0;1.6922445;-1.0879064;-0.13133237;0.0;0.0
Simu_maxF1_NbAct400_drag;1;500;1.9634789;-0.84699374;-0.08323146;0.053079434;0.09750549
Simu_maxF1_NbAct400_drag;1;1000;1.7996998;-1.0404712;-0.49451372;0.060986467;-0.05768448
Simu_maxF1_NbAct400_drag;1;1500;1.8521781;-0.8725444;-0.10875077;0.040572487;0.09008076
Simu_maxF1_NbAct400_drag;1;2000;2.3363504;-0.90449196;0.20867822;0.008951522;0.098717086
Simu_maxF1_NbAct400_drag;1;2500;2.489881;-0.885394;0.19554354;0.023793057;0.09572942
Simu_maxF1_NbAct400_drag;1;3000;2.535865;-0.91929424;-0.35167307;0.042251073;-0.008143485
Simu_maxF1_NbAct400_drag;1;3500;2.6378398;-0.8317717;-0.058644854;0.055931754;0.092123695
Simu_maxF1_NbAct400_drag;1;4000;3.017689;-0.89320964;0.24752848;0.022680596;0.09747901
Simu_maxF1_NbAct400_drag;1;4500;3.3622613;-0.8770308;0.23462838;0.036709316;0.092288576
Simu_maxF1_NbAct400_drag;1;5000;3.2376902;-0.8702376;0.15546113;0.03806842;0.08428205
Simu_maxF1_NbAct400_drag;1;5500;3.1397855;-0.86222774;0.21389529;0.035104282;0.09710028
Simu_maxF1_NbAct400_drag;1;6000;3.3479507;-0.8715976;0.24916132;0.020777605;0.096824385
Simu_maxF1_NbAct400_drag;1;6500;3.5361836;-0.87734663;0.15384126;0.03612732;0.07527029
Simu_maxF1_NbAct400_drag;1;7000;3.0910332;-0.8621828;0.14484696;0.029594399;0.08731789
Simu_maxF1_NbAct400_drag;1;7500;3.1198182;-0.8654706;0.22749896;0.020425618;0.09663404
Simu_maxF1_NbAct400_drag;1;8000;3.4263022;-0.87152094;0.19162005;0.034073003;0.08364732
Simu_maxF1_NbAct400_drag;1;8500;3.350069;-0.8731066;0.050058074;0.030221991;0.060739376
Simu_maxF1_NbAct400_drag;1;9000;3.1136723;-0.86928254;0.077411555;0.02614642;0.07137149
Simu_maxF1_NbAct400_drag;1;9500;3.3488257;-0.8645484;0.20338967;0.02153305;0.09375515
Simu_maxF1_NbAct400_drag;1;10000;3.6154013;-0.865609;0.18100303;0.034541212;0.081006505
Simu_maxF1_NbAct400_drag;1;10500;3.5079415;-0.8636335;0.12620667;0.035875373;0.07852157
Simu_maxF1_NbAct400_drag;1;11000;3.2749045;-0.85946;0.19751304;0.02737213;0.091701604
